invoice_id,customer_id,invoice_date,due_date,amount,segment,payment_terms_days,prior_late_rate,prior_avg_delay_days,dispute_flag,days_since_last_payment,macro_pressure,late_30
INV0012944,C02371,2023-01-02,2023-02-01,1247.83,SMB,30,0.1149,13.39,0,9.9,0.0,0
INV0013540,C00871,2023-01-02,2023-02-01,1109.71,SMB,30,0.4148,12.62,0,13.0,0.0,0
INV0014599,C01558,2023-01-02,2023-02-01,3167.34,SMB,30,0.1041,0.73,0,12.5,0.0,0
INV0014609,C00565,2023-01-02,2023-03-03,1921.45,Enterprise,60,0.1026,9.41,0,47.3,0.0,0
INV0014630,C02217,2023-01-02,2023-01-17,2651.47,SMB,15,0.5745,24.55,0,21.0,0.0,1
INV0015188,C02268,2023-01-02,2023-02-01,2826.93,Mid-market,30,0.1496,1.0,0,7.3,0.0,0
INV0015332,C01476,2023-01-02,2023-02-01,6185.69,SMB,30,0.1787,9.77,1,33.0,0.0,1
INV0015960,C00414,2023-01-02,2023-02-01,1314.64,SMB,30,0.2885,10.03,0,23.3,0.0,0
INV0016948,C00201,2023-01-02,2023-02-16,1713.01,Mid-market,45,0.0398,7.06,0,17.7,0.0,0
INV0017899,C01199,2023-01-02,2023-01-17,1475.75,SMB,15,0.2507,21.11,0,18.0,0.0,1
INV0000640,C01118,2023-01-03,2023-03-04,7174.09,Mid-market,60,0.1417,14.23,0,14.5,0.0,0
INV0001637,C01306,2023-01-03,2023-02-02,5669.77,Mid-market,30,0.3746,9.92,0,23.7,0.0,0
INV0001802,C01309,2023-01-03,2023-01-18,19123.28,Enterprise,15,0.1425,0.0,0,22.0,0.0,0
INV0004547,C02000,2023-01-03,2023-02-02,5020.96,SMB,30,0.1092,5.83,0,10.2,0.0,0
INV0005460,C00188,2023-01-03,2023-03-04,4087.83,Mid-market,60,0.1628,4.52,0,19.3,0.0,0
INV0007211,C01606,2023-01-03,2023-02-02,585.88,SMB,30,0.2023,3.39,0,9.5,0.0,0
INV0007903,C00688,2023-01-03,2023-02-02,1492.7,SMB,30,0.0545,3.08,1,26.1,0.0,0
INV0009328,C01231,2023-01-03,2023-02-02,956.1,SMB,30,0.1531,16.09,0,35.0,0.0,0
INV0010011,C01059,2023-01-03,2023-01-18,5853.93,Mid-market,15,0.1999,13.49,0,19.6,0.0,0
INV0012263,C02247,2023-01-03,2023-02-02,2326.12,SMB,30,0.6473,36.59,0,31.3,0.0,1
INV0013868,C02137,2023-01-03,2023-02-02,10069.91,Mid-market,30,0.3944,9.23,0,22.5,0.0,0
INV0014331,C01301,2023-01-03,2023-02-02,1045.15,SMB,30,0.0,3.33,0,21.9,0.0,0
INV0014699,C00940,2023-01-03,2023-02-02,13987.08,SMB,30,0.1541,18.11,0,18.9,0.0,0
INV0016146,C01726,2023-01-03,2023-03-04,1760.78,SMB,60,0.0895,4.66,0,37.6,0.0,0
INV0016279,C00136,2023-01-03,2023-01-18,1209.41,SMB,15,0.0,0.0,0,10.4,0.0,0
INV0016536,C02247,2023-01-03,2023-02-02,4127.88,SMB,30,0.6862,27.29,0,34.3,0.0,1
INV0018262,C01412,2023-01-03,2023-02-02,1631.38,SMB,30,0.3024,5.94,0,22.4,0.0,0
INV0001601,C01055,2023-01-04,2023-03-05,2101.58,Mid-market,60,0.2541,14.36,0,49.2,0.0,0
INV0002248,C01417,2023-01-04,2023-03-05,3224.68,SMB,60,0.1254,11.83,0,19.8,0.0,0
INV0002528,C00244,2023-01-04,2023-03-05,201.46,SMB,60,0.1587,10.44,0,11.2,0.0,0
INV0003542,C01499,2023-01-04,2023-02-03,41251.41,Enterprise,30,0.5036,14.47,1,30.9,0.0,1
INV0004077,C01516,2023-01-04,2023-02-03,2616.9,SMB,30,0.0,9.31,0,28.9,0.0,0
INV0005072,C01473,2023-01-04,2023-02-18,3434.34,SMB,45,0.1144,17.36,0,21.5,0.0,0
INV0005709,C02226,2023-01-04,2023-02-03,914.88,SMB,30,0.1552,1.58,0,27.7,0.0,0
INV0007664,C00972,2023-01-04,2023-02-03,300.79,SMB,30,0.3092,0.0,0,14.0,0.0,0
INV0009569,C00971,2023-01-04,2023-03-05,815.33,SMB,60,0.0,1.31,0,20.3,0.0,0
INV0009894,C02020,2023-01-04,2023-02-03,4025.26,SMB,30,0.11,3.88,0,15.4,0.0,0
INV0011085,C01038,2023-01-04,2023-02-18,592.52,SMB,45,0.2592,16.92,0,25.6,0.0,0
INV0012385,C01717,2023-01-04,2023-02-03,1142.66,Mid-market,30,0.1574,0.0,0,17.0,0.0,0
INV0013711,C01788,2023-01-04,2023-02-18,1586.18,SMB,45,0.2441,14.54,0,25.2,0.0,0
INV0013855,C01256,2023-01-04,2023-02-03,2894.07,SMB,30,0.2765,22.06,0,26.0,0.0,0
INV0015757,C01967,2023-01-04,2023-02-03,5988.24,Enterprise,30,0.3582,11.94,1,41.4,0.0,0
INV0016172,C01208,2023-01-04,2023-02-03,12889.16,Enterprise,30,0.0,0.0,0,29.8,0.0,0
INV0017299,C01452,2023-01-04,2023-02-18,3611.41,SMB,45,0.4574,14.46,1,26.7,0.0,0
INV0017937,C02169,2023-01-04,2023-02-03,1872.57,SMB,30,0.2626,17.82,0,29.2,0.0,1
INV0019088,C00572,2023-01-04,2023-01-19,4731.48,Mid-market,15,0.0993,8.96,0,15.3,0.0,0
INV0019219,C01596,2023-01-04,2023-01-19,7532.83,SMB,15,0.0909,8.17,0,25.0,0.0,0
INV0000438,C00831,2023-01-05,2023-03-06,603.76,SMB,60,0.0116,3.09,0,10.8,0.0,0
INV0002051,C02154,2023-01-05,2023-02-04,3658.6,Mid-market,30,0.222,8.44,0,28.4,0.0,0
INV0004355,C00445,2023-01-05,2023-02-04,8414.95,SMB,30,0.0922,12.86,0,7.2,0.0,0
INV0005641,C00252,2023-01-05,2023-02-04,905.65,SMB,30,0.1635,3.25,0,21.7,0.0,1
INV0006751,C00914,2023-01-05,2023-02-04,25753.35,Mid-market,30,0.0872,10.09,0,35.0,0.0,1
INV0007073,C01090,2023-01-05,2023-02-04,9114.57,SMB,30,0.5117,26.43,0,20.3,0.0,1
INV0008073,C00525,2023-01-05,2023-02-19,4575.05,SMB,45,0.5991,24.4,0,47.8,0.0,1
INV0010146,C01403,2023-01-05,2023-02-04,489.18,SMB,30,0.3154,6.57,0,55.6,0.0,1
INV0011775,C00577,2023-01-05,2023-02-04,4488.23,SMB,30,0.2763,10.71,0,16.5,0.0,0
INV0011806,C00105,2023-01-05,2023-02-04,15916.55,Enterprise,30,0.4689,24.52,0,60.8,0.0,0
INV0011932,C00433,2023-01-05,2023-02-04,1746.55,SMB,30,0.4109,17.12,0,24.8,0.0,1
INV0012913,C00865,2023-01-05,2023-02-04,2890.85,Mid-market,30,0.5652,26.87,0,45.0,0.0,1
INV0013904,C00490,2023-01-05,2023-02-04,1415.85,SMB,30,0.2692,11.47,0,21.6,0.0,0
INV0014952,C01367,2023-01-05,2023-01-20,1022.49,Mid-market,15,0.0973,10.28,1,30.5,0.0,0
INV0016553,C02190,2023-01-05,2023-02-04,3051.11,Mid-market,30,0.0565,0.0,0,21.0,0.0,0
INV0016713,C01327,2023-01-05,2023-02-04,2160.18,SMB,30,0.1522,13.35,0,25.7,0.0,0
INV0017925,C01705,2023-01-05,2023-02-04,2387.82,Mid-market,30,0.155,15.19,0,16.1,0.0,0
INV0018336,C00271,2023-01-05,2023-02-04,2530.93,SMB,30,0.1739,7.52,0,19.0,0.0,0
INV0018955,C00555,2023-01-05,2023-02-04,3678.58,Enterprise,30,0.5032,19.57,0,42.7,0.0,0
INV0019157,C00603,2023-01-05,2023-02-04,943.06,SMB,30,0.3712,16.34,0,43.3,0.0,0
INV0000461,C02217,2023-01-06,2023-02-05,847.01,SMB,30,0.4159,34.22,0,22.7,0.0,1
INV0001318,C00321,2023-01-06,2023-03-07,708.89,SMB,60,0.443,18.94,0,34.2,0.0,0
INV0002905,C01837,2023-01-06,2023-03-07,3516.81,SMB,60,0.1853,1.34,1,24.1,0.0,0
INV0004651,C01593,2023-01-06,2023-02-05,703.25,SMB,30,0.2969,20.39,0,36.1,0.0,1
INV0005476,C02116,2023-01-06,2023-02-05,2496.4,SMB,30,0.2546,0.85,0,16.1,0.0,0
INV0006513,C02369,2023-01-06,2023-02-05,6839.96,SMB,30,0.3847,24.94,0,30.2,0.0,1
INV0012781,C01677,2023-01-06,2023-02-05,2072.81,Mid-market,30,0.475,22.15,0,50.2,0.0,0
INV0014231,C00758,2023-01-06,2023-02-05,669.07,Mid-market,30,0.0944,12.13,0,28.3,0.0,0
INV0017623,C01847,2023-01-06,2023-02-05,1248.37,Mid-market,30,0.5102,21.22,1,23.2,0.0,1
INV0019124,C00100,2023-01-06,2023-02-20,1793.81,SMB,45,0.3672,21.97,0,31.5,0.0,0
INV0019737,C01357,2023-01-06,2023-02-20,1333.02,SMB,45,0.1042,6.1,0,21.8,0.0,0
INV0000031,C01838,2023-01-07,2023-02-06,2537.65,SMB,30,0.0589,2.7,0,50.3,0.0,0
INV0000816,C01343,2023-01-07,2023-02-21,13177.08,Enterprise,45,0.1015,1.84,0,18.6,0.0,0
INV0001473,C01416,2023-01-07,2023-02-06,2666.4,SMB,30,0.1615,12.92,0,44.8,0.0,0
INV0001488,C01083,2023-01-07,2023-03-08,9158.74,SMB,60,0.1377,6.1,0,31.6,0.0,0
INV0002605,C01614,2023-01-07,2023-02-21,2849.57,SMB,45,0.1314,1.69,0,23.3,0.0,1
INV0003956,C01549,2023-01-07,2023-02-06,501.37,SMB,30,0.2678,16.88,0,34.4,0.0,0
INV0004577,C02146,2023-01-07,2023-02-21,4555.96,SMB,45,0.1201,0.63,1,14.3,0.0,0
INV0006404,C00556,2023-01-07,2023-02-21,539.38,Mid-market,45,0.1266,3.28,0,8.7,0.0,0
INV0008622,C02361,2023-01-07,2023-02-06,1315.06,Mid-market,30,0.1272,0.0,0,15.7,0.0,0
INV0008724,C01190,2023-01-07,2023-02-21,1733.38,Mid-market,45,0.254,9.46,0,12.0,0.0,0
INV0009083,C02398,2023-01-07,2023-02-06,3035.47,Mid-market,30,0.1354,8.27,0,36.1,0.0,0
INV0012046,C01322,2023-01-07,2023-02-06,7648.9,Enterprise,30,0.2385,17.12,0,16.0,0.0,0
INV0012482,C02109,2023-01-07,2023-02-21,20059.82,Mid-market,45,0.1705,4.21,0,27.2,0.0,0
INV0012843,C01961,2023-01-07,2023-03-08,3649.25,SMB,60,0.2424,5.56,0,16.0,0.0,0
INV0013468,C01619,2023-01-07,2023-02-06,845.51,Mid-market,30,0.2659,21.47,0,15.3,0.0,0
INV0014334,C00331,2023-01-07,2023-02-21,663.63,SMB,45,0.4728,24.39,0,28.6,0.0,1
INV0014810,C02196,2023-01-07,2023-02-06,276.84,Mid-market,30,0.303,11.78,0,29.4,0.0,0
INV0014856,C01212,2023-01-07,2023-02-06,5305.25,SMB,30,0.5405,30.37,0,30.8,0.0,1
INV0015097,C02339,2023-01-07,2023-02-06,2679.17,SMB,30,0.1811,5.94,0,19.3,0.0,0
INV0015160,C01987,2023-01-07,2023-02-06,9159.61,Enterprise,30,0.216,9.48,0,11.4,0.0,0
INV0018180,C00803,2023-01-07,2023-02-06,34829.29,Mid-market,30,0.1982,10.16,0,13.7,0.0,0
INV0000145,C01252,2023-01-08,2023-02-07,10237.64,Mid-market,30,0.2885,16.09,0,24.4,0.0,0
INV0000716,C02058,2023-01-08,2023-01-23,5218.65,Mid-market,15,0.1155,2.55,0,17.1,0.0,0
INV0001186,C01008,2023-01-08,2023-02-07,10424.07,Enterprise,30,0.3247,15.09,1,25.6,0.0,1
INV0001235,C00060,2023-01-08,2023-02-07,15055.23,Mid-market,30,0.6433,32.45,1,59.4,0.0,1
INV0004309,C01182,2023-01-08,2023-02-22,1855.11,SMB,45,0.2363,2.89,0,20.5,0.0,1
INV0005377,C00524,2023-01-08,2023-02-07,2988.48,SMB,30,0.1806,9.33,0,19.7,0.0,1
INV0006200,C01027,2023-01-08,2023-02-07,916.8,SMB,30,0.4729,18.71,0,25.8,0.0,0
INV0006622,C02080,2023-01-08,2023-01-23,2481.35,Mid-market,15,0.4712,12.27,1,27.5,0.0,0
INV0007692,C00957,2023-01-08,2023-02-07,265.09,SMB,30,0.2161,3.85,0,99.8,0.0,0
INV0008218,C01351,2023-01-08,2023-01-23,3432.9,Mid-market,15,0.1614,10.83,0,20.7,0.0,0
INV0008829,C01816,2023-01-08,2023-02-07,5691.04,Mid-market,30,0.1343,0.0,0,29.5,0.0,0
INV0010990,C01615,2023-01-08,2023-03-09,880.35,SMB,60,0.4724,28.04,0,42.7,0.0,1
INV0012025,C00035,2023-01-08,2023-02-07,3816.48,SMB,30,0.0,2.55,0,2.5,0.0,0
INV0016534,C00001,2023-01-08,2023-02-07,2990.98,Mid-market,30,0.269,10.54,0,20.3,0.0,0
INV0018026,C00438,2023-01-08,2023-02-07,1551.17,Mid-market,30,0.1747,5.46,0,21.9,0.0,0
INV0019928,C02257,2023-01-08,2023-02-22,6341.4,Mid-market,45,0.4095,12.71,0,23.7,0.0,0
INV0000455,C00475,2023-01-09,2023-01-24,12998.31,SMB,15,0.4032,23.24,0,18.8,0.0,0
INV0000474,C00773,2023-01-09,2023-02-23,7942.99,SMB,45,0.2128,15.77,0,16.6,0.0,0
INV0003263,C00330,2023-01-09,2023-02-08,3157.5,Mid-market,30,0.4441,31.77,0,32.1,0.0,0
INV0003460,C00600,2023-01-09,2023-02-23,1778.15,Enterprise,45,0.4488,23.7,1,32.3,0.0,0
INV0004141,C01482,2023-01-09,2023-02-23,205.66,Mid-market,45,0.304,16.94,0,41.5,0.0,1
INV0004575,C01410,2023-01-09,2023-02-23,24849.57,Mid-market,45,0.1609,12.51,0,29.9,0.0,0
INV0006031,C01467,2023-01-09,2023-02-23,3760.29,Enterprise,45,0.2875,8.0,1,27.6,0.0,0
INV0007095,C02410,2023-01-09,2023-01-24,3280.71,Enterprise,15,0.2441,5.05,0,25.2,0.0,0
INV0008446,C00922,2023-01-09,2023-02-08,5975.63,Mid-market,30,0.1518,7.75,1,23.4,0.0,1
INV0012724,C01582,2023-01-09,2023-02-08,1642.14,Mid-market,30,0.0535,0.14,0,16.8,0.0,0
INV0013375,C00446,2023-01-09,2023-03-10,5684.86,SMB,60,0.2273,10.46,0,17.6,0.0,0
INV0013719,C00126,2023-01-09,2023-02-08,4185.1,SMB,30,0.1359,1.31,0,8.2,0.0,0
INV0014119,C01457,2023-01-09,2023-02-08,40659.28,Mid-market,30,0.0,2.71,0,4.5,0.0,0
INV0014427,C00840,2023-01-09,2023-01-24,1619.51,SMB,15,0.3741,16.65,0,28.7,0.0,1
INV0016811,C02077,2023-01-09,2023-02-08,6778.52,SMB,30,0.1345,6.41,0,45.7,0.0,0
INV0018108,C00344,2023-01-09,2023-03-10,2672.32,Mid-market,60,0.5756,23.94,0,42.7,0.0,1
INV0018281,C00386,2023-01-09,2023-03-10,5683.71,SMB,60,0.2931,7.58,0,37.5,0.0,0
INV0000918,C00134,2023-01-10,2023-02-09,3146.13,SMB,30,0.2337,3.11,0,27.8,0.0,1
INV0001311,C01975,2023-01-10,2023-02-24,215.73,Mid-market,45,0.0382,0.05,0,14.7,0.0,0
INV0001769,C01992,2023-01-10,2023-02-09,8001.95,Mid-market,30,0.0504,0.0,0,13.1,0.0,0
INV0001800,C01907,2023-01-10,2023-02-24,376.28,SMB,45,0.2799,14.29,0,26.1,0.0,0
INV0002865,C02340,2023-01-10,2023-02-09,894.01,SMB,30,0.4061,15.66,0,28.9,0.0,1
INV0003943,C01262,2023-01-10,2023-01-25,2671.81,SMB,15,0.4076,17.46,0,28.5,0.0,0
INV0004321,C01174,2023-01-10,2023-02-24,6432.89,Mid-market,45,0.0428,5.15,0,37.5,0.0,0
INV0007076,C01607,2023-01-10,2023-02-09,5272.48,Enterprise,30,0.24,15.1,0,13.2,0.0,0
INV0007130,C02001,2023-01-10,2023-02-09,1842.6,Mid-market,30,0.1796,19.06,0,26.2,0.0,0
INV0007439,C02367,2023-01-10,2023-02-09,173.62,SMB,30,0.1826,5.25,1,18.1,0.0,0
INV0012218,C00788,2023-01-10,2023-02-09,2701.78,Mid-market,30,0.4316,16.4,0,39.6,0.0,0
INV0014320,C01005,2023-01-10,2023-01-25,3852.45,Mid-market,15,0.2435,8.93,0,30.5,0.0,0
INV0014949,C02021,2023-01-10,2023-02-09,446.77,SMB,30,0.0329,9.3,0,23.8,0.0,1
INV0015980,C01708,2023-01-10,2023-02-09,18900.62,Enterprise,30,0.2226,10.9,0,21.2,0.0,0
INV0016724,C01560,2023-01-10,2023-02-09,603.1,SMB,30,0.0729,7.89,0,8.3,0.0,0
INV0018177,C00607,2023-01-10,2023-02-24,21253.85,Mid-market,45,0.4309,19.86,0,23.1,0.0,0
INV0018934,C00282,2023-01-10,2023-02-09,1076.84,SMB,30,0.1428,8.55,0,25.2,0.0,0
INV0018963,C00826,2023-01-10,2023-03-11,6012.42,SMB,60,0.4109,15.8,0,22.5,0.0,1
INV0000440,C00336,2023-01-11,2023-02-10,2720.18,SMB,30,0.1396,6.0,0,16.5,0.0,0
INV0003195,C01430,2023-01-11,2023-02-10,3788.47,SMB,30,0.2708,11.55,0,29.1,0.0,0
INV0003611,C00807,2023-01-11,2023-03-12,3740.73,Mid-market,60,0.0764,4.69,0,27.4,0.0,0
INV0004459,C02187,2023-01-11,2023-02-10,3921.3,SMB,30,0.2293,7.35,0,14.1,0.0,0
INV0005601,C01803,2023-01-11,2023-02-10,361.16,SMB,30,0.1644,8.67,0,34.6,0.0,0
INV0006089,C01638,2023-01-11,2023-02-10,1160.9,Mid-market,30,0.2103,8.41,0,33.2,0.0,0
INV0006669,C01735,2023-01-11,2023-02-25,828.41,Mid-market,45,0.434,13.15,0,37.0,0.0,0
INV0007405,C00898,2023-01-11,2023-02-10,4073.17,SMB,30,0.3749,21.15,0,29.1,0.0,1
INV0008078,C02236,2023-01-11,2023-02-25,1585.3,Mid-market,45,0.1589,10.71,0,5.1,0.0,0
INV0010103,C00590,2023-01-11,2023-01-26,2270.77,SMB,15,0.1657,13.37,0,21.0,0.0,0
INV0010114,C01159,2023-01-11,2023-01-26,8276.69,SMB,15,0.3267,8.74,0,33.3,0.0,0
INV0010580,C00636,2023-01-11,2023-02-10,2334.68,Mid-market,30,0.2419,16.09,1,55.8,0.0,0
INV0011145,C02020,2023-01-11,2023-02-25,280.89,SMB,45,0.0516,10.84,1,20.6,0.0,0
INV0014048,C00203,2023-01-11,2023-02-10,5825.32,Mid-market,30,0.1336,11.67,0,9.7,0.0,0
INV0014365,C00838,2023-01-11,2023-02-10,12503.78,SMB,30,0.334,1.46,0,10.7,0.0,0
INV0015096,C01322,2023-01-11,2023-02-10,25451.76,Enterprise,30,0.2871,5.55,0,30.3,0.0,1
INV0015108,C02145,2023-01-11,2023-02-10,4463.37,SMB,30,0.3198,7.39,0,16.3,0.0,0
INV0015116,C02304,2023-01-11,2023-02-10,619.39,SMB,30,0.2031,18.04,0,17.6,0.0,0
INV0017933,C02213,2023-01-11,2023-02-10,3303.57,SMB,30,0.1677,7.45,0,24.2,0.0,0
INV0019466,C01784,2023-01-11,2023-02-10,7184.49,SMB,30,0.2485,9.45,0,19.0,0.0,0
INV0002356,C00036,2023-01-12,2023-02-11,590.6,SMB,30,0.0,0.0,0,25.0,0.0,0
INV0002688,C02120,2023-01-12,2023-02-11,64426.07,Mid-market,30,0.432,22.97,0,19.1,0.0,0
INV0004099,C01128,2023-01-12,2023-02-11,1126.53,SMB,30,0.3583,20.61,0,29.5,0.0,0
INV0004325,C01144,2023-01-12,2023-02-11,1862.85,Mid-market,30,0.4008,27.57,0,39.7,0.0,0
INV0005781,C00564,2023-01-12,2023-02-11,533.01,SMB,30,0.2653,2.15,0,22.4,0.0,0
INV0005947,C01234,2023-01-12,2023-02-11,8201.81,SMB,30,0.1727,5.91,0,15.8,0.0,0
INV0007094,C01778,2023-01-12,2023-02-11,6132.73,Mid-market,30,0.3625,12.73,0,18.3,0.0,0
INV0007675,C00281,2023-01-12,2023-02-11,973.73,Mid-market,30,0.0972,4.31,0,17.9,0.0,0
INV0012173,C01604,2023-01-12,2023-02-11,9024.42,Enterprise,30,0.1326,9.82,0,5.1,0.0,0
INV0012953,C01763,2023-01-12,2023-02-11,810.69,SMB,30,0.2469,0.0,0,12.9,0.0,0
INV0013083,C00412,2023-01-12,2023-02-11,4669.14,Enterprise,30,0.282,9.8,0,11.4,0.0,0
INV0013222,C02408,2023-01-12,2023-02-11,10505.01,Mid-market,30,0.2445,9.0,0,20.6,0.0,0
INV0013770,C02297,2023-01-12,2023-01-27,1663.69,SMB,15,0.3307,29.07,1,62.0,0.0,1
INV0014363,C00143,2023-01-12,2023-01-27,3745.4,Mid-market,15,0.4026,24.6,0,15.9,0.0,0
INV0014793,C01035,2023-01-12,2023-01-27,857.03,SMB,15,0.5057,9.66,0,27.1,0.0,1
INV0016055,C01894,2023-01-12,2023-02-11,72565.78,Enterprise,30,0.2396,14.91,0,76.5,0.0,0
INV0016773,C02146,2023-01-12,2023-01-27,2829.65,SMB,15,0.0406,5.39,0,18.0,0.0,1
INV0016879,C01343,2023-01-12,2023-01-27,6263.47,Enterprise,15,0.0,7.52,0,45.5,0.0,0
INV0017027,C02072,2023-01-12,2023-02-11,1259.65,SMB,30,0.0796,0.59,0,5.7,0.0,0
INV0000006,C00995,2023-01-13,2023-02-27,455.9,SMB,45,0.1266,0.0,0,20.3,0.0,0
INV0001026,C00834,2023-01-13,2023-02-12,1241.34,SMB,30,0.3426,1.13,1,15.8,0.0,0
INV0001175,C01841,2023-01-13,2023-02-27,33648.33,Enterprise,45,0.0998,2.86,0,14.0,0.0,0
INV0001986,C00135,2023-01-13,2023-01-28,5105.19,Mid-market,15,0.039,4.83,0,11.1,0.0,0
INV0002019,C00922,2023-01-13,2023-02-12,2468.09,Mid-market,30,0.1233,13.73,0,20.5,0.0,0
INV0002177,C00463,2023-01-13,2023-02-12,6853.06,SMB,30,0.4285,24.53,0,32.0,0.0,0
INV0006458,C02331,2023-01-13,2023-02-12,21848.32,SMB,30,0.119,13.78,0,29.8,0.0,0
INV0007539,C00411,2023-01-13,2023-02-12,1350.9,SMB,30,0.0171,6.63,0,12.2,0.0,0
INV0011466,C00672,2023-01-13,2023-02-12,18118.14,Mid-market,30,0.0,0.0,0,22.1,0.0,0
INV0012217,C00195,2023-01-13,2023-02-12,15197.45,SMB,30,0.4318,16.3,0,30.8,0.0,0
INV0013849,C01598,2023-01-13,2023-02-12,353.9,Mid-market,30,0.4706,17.85,0,57.1,0.0,0
INV0016125,C00910,2023-01-13,2023-02-12,849.03,SMB,30,0.2636,10.84,0,19.0,0.0,1
INV0016302,C01610,2023-01-13,2023-02-12,1848.22,SMB,30,0.119,12.0,0,31.0,0.0,0
INV0018036,C00448,2023-01-13,2023-02-12,563.02,SMB,30,0.2995,22.77,0,24.6,0.0,0
INV0018061,C02085,2023-01-13,2023-02-12,111.74,SMB,30,0.343,7.18,0,13.1,0.0,1
INV0018215,C01974,2023-01-13,2023-02-12,2925.37,SMB,30,0.3867,15.22,0,23.6,0.0,1
INV0019317,C01963,2023-01-13,2023-03-14,614.09,SMB,60,0.2743,9.34,0,18.3,0.0,0
INV0000132,C00349,2023-01-14,2023-03-15,5433.53,Mid-market,60,0.4086,13.23,0,22.0,0.0,0
INV0003434,C01752,2023-01-14,2023-02-13,2229.59,SMB,30,0.3563,8.03,0,38.4,0.0,0
INV0003914,C02195,2023-01-14,2023-02-13,5788.97,Mid-market,30,0.437,28.33,0,21.8,0.0,1
INV0004899,C01129,2023-01-14,2023-03-15,2127.04,SMB,60,0.0802,9.1,0,16.8,0.0,1
INV0006725,C00977,2023-01-14,2023-02-13,903.03,SMB,30,0.0,10.23,0,47.0,0.0,0
INV0006916,C01364,2023-01-14,2023-02-28,586.18,SMB,45,0.3034,2.34,0,15.9,0.0,0
INV0006926,C00941,2023-01-14,2023-01-29,5882.2,SMB,15,0.0601,0.0,0,7.8,0.0,0
INV0010100,C00014,2023-01-14,2023-02-28,3597.67,SMB,45,0.2508,4.83,0,15.0,0.0,0
INV0010230,C01330,2023-01-14,2023-02-13,1814.64,Mid-market,30,0.1092,6.5,0,10.1,0.0,0
INV0010415,C02193,2023-01-14,2023-02-13,5690.66,Mid-market,30,0.0576,3.02,0,43.9,0.0,0
